INFO DATE TIME CLASS LINE DATASET ALGORITHM REPRESENTATION WORDSIZE ALPHA SCORE
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 4 0.43
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 5 0.43
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 6 0.41
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 7 0.42
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 8 0.43
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 9 0.4
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 10 0.47
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 11 0.48
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 12 0.48
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 13 0.46
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 14 0.44
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 15 0.45
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 16 0.5
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 3 0.46
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 4 0.45
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 5 0.46
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 6 0.42
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 7 0.43
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 8 0.47
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 9 0.43
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 10 0.52
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 11 0.45
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 12 0.49
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 13 0.45
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 14 0.46
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 15 0.48
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 10 16 0.46
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 3 0.44
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 4 0.44
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 5 0.43
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 6 0.46
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 11 7 0.43
