[series][INFO] [2020-09-14 16:26:57] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 12 0.08
[series][INFO] [2020-09-14 16:26:57] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 13 0.15
[series][INFO] [2020-09-14 16:26:57] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 14 0.19
[series][INFO] [2020-09-14 16:26:58] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 15 0.18
[series][INFO] [2020-09-14 16:26:58] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 16 0.19
[series][INFO] [2020-09-14 16:26:58] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 3 0.1
[series][INFO] [2020-09-14 16:26:59] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 4 0.1
[series][INFO] [2020-09-14 16:26:59] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 5 0.11
[series][INFO] [2020-09-14 16:27:00] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 6 0.12
[series][INFO] [2020-09-14 16:27:00] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 7 0.13
[series][INFO] [2020-09-14 16:27:00] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 8 0.13
[series][INFO] [2020-09-14 16:27:01] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 9 0.16
[series][INFO] [2020-09-14 16:27:01] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 10 0.18
[series][INFO] [2020-09-14 16:27:01] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 11 0.17
[series][INFO] [2020-09-14 16:27:02] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 12 0.15
[series][INFO] [2020-09-14 16:27:02] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 13 0.15
[series][INFO] [2020-09-14 16:27:02] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 14 0.16
[series][INFO] [2020-09-14 16:27:02] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 15 0.18
[series][INFO] [2020-09-14 16:27:03] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 15 16 0.14
[series][INFO] [2020-09-14 16:27:03] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 3 0.1
[series][INFO] [2020-09-14 16:27:04] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 16 4 0.11
